quinto,クイント,KU I N TO
﻿page mode,ページモード,PE - ZI MO - DO
﻿pager,ページャー,PE - ZI ya -
﻿pager,ペイジャー,PE I ZI ya -
﻿paging,ペイジング,PE I ZI N GU
﻿pegging,ペギング,PE GI N GU
﻿peripheral,ペリフェラル,PE RI HU e RA RU
﻿pel,ペル,PE RU
﻿Pentium ODP,ペンティアムオーディーピー,PE N TE i A MU O - DE i - PI -
﻿pen flick,ペンフリック,PE N HU RI tsu KU
﻿home address,ホームアドレス,HO - MU A DO RE SU
﻿home computing,ホームコンピューティング,HO - MU KO N PI yu - TE i N GU
﻿home position,ホームポジション,HO - MU PO ZI SI yo N
﻿home user,ホームユーザ,HO - MU YU - ZA
﻿home user,ホームユーザー,HO - MU YU - ZA -
﻿hold time,ホールドタイム,HO - RU DO TA I MU
﻿hosts,ホスツ,HO SU TU
﻿host node,ホストノード,HO SU TO NO - DO
﻿host machine,ホストマシン,HO SU TO MA SI N
﻿HotJava,ホットジャバ,HO tsu TO ZI ya BA
﻿hot spare,ホットスペア,HO tsu TO SU PE A
﻿hot swap,ホットスワップ,HO tsu TO SU WA tsu PU
﻿hot docking,ホットドッキング,HO tsu TO DO tsu KI N GU
﻿hot backup,ホットバックアップ,HO tsu TO BA tsu KU A tsu PU
﻿hot reset,ホットリセット,HO tsu TO RI SE tsu TO
﻿hotlink,ホットリンク,HO tsu TO RI N KU
﻿baud rate,ボードレート,BO - DO RE - TO
﻿voice codec,ボイスコーデック,BO I SU KO - DE tsu KU
﻿voice mail,ボイスメール,BO I SU ME - RU
﻿voice mail,ボイスメイル,BO I SU ME I RU
﻿voice message,ボイスメッセージ,BO I SU ME tsu SE - ZI
﻿voice messaging,ボイスメッセージング,BO I SU ME tsu SE - ZI N GU
﻿boilerplate,ボイラプレート,BO I RA PU RE - TO
﻿voxel,ボクセル,BO KU SE RU
﻿button bar,ボタンバー,BO TA N BA -
﻿box model,ボックスモデル,BO tsu KU SU MO DE RU
﻿volume set,ボリュームセット,BO RI yu - MU SE tsu TO
﻿volume manager,ボリュームマネージャ,BO RI yu - MU MA NE - ZI ya
﻿volume rendering,ボリュームレンダリング,BO RI yu - MU RE N DA RI N GU
﻿porting,ポーティング,PO - TE i N GU
﻿Portege,ポーテジェ,PO - TE ZI e
﻿pointer field,ポインターフィールド,PO I N TA - HU i - RU DO
﻿point to point,ポイント・ツウ・ポイント,PO I N TO * TU U * PO I N TO
﻿pocket modem,ポケットモデム,PO KE tsu TO MO DE MU
﻿postamble,ポストアンブル,PO SU TO A N BU RU
﻿Postgres,ポストグレス,PO SU TO GU RE SU
﻿Postpet,ポストペット,PO SU TO PE tsu TO
﻿market awareness,マーケットアウェアネス,MA - KE tsu TO A U e A NE SU
﻿Merced,マーセッド,MA - SE tsu DO
﻿microcode,マイクロコード,MA I KU RO KO - DO
﻿Microsoft,マイクロソフト,MA I KU RO SO HU TO
﻿Microsoft Product Activation,マイクロソフトプロダクトアクティベーション,MA I KU RO SO HU TO PU RO DA KU TO A KU TE i BE - SI yo N
﻿Microsoft Points,マイクロソフトポイント,MA I KU RO SO HU TO PO I N TO
﻿microfloppy disk,マイクロフロッピーディスク,MA I KU RO HU RO tsu PI - DE i SU KU
﻿micromedia,マイクロメディア,MA I KU RO ME DE i A
﻿Micron,マイクロン,MA I KU RO N
﻿My TV,マイテレビ,MA I TE RE BI
﻿My Device,マイデバイス,MA I DE BA I SU
﻿minor version up,マイナーバージョンアップ,MA I NA - BA - ZI yo N A tsu PU
﻿mouse icon,マウスアイコン,MA U SU A I KO N
﻿mouse cursor,マウスカーソル,MA U SU KA - SO RU
﻿mouse click,マウスクリック,MA U SU KU RI tsu KU
﻿mouse pad,マウスパッド,MA U SU PA tsu DO
﻿mouse button,マウスボタン,MA U SU BO TA N
﻿mouse pointer,マウスポインタ,MA U SU PO I N TA
﻿macro window,マクロウィンドウ,MA KU RO U i N DO U
﻿macro data,マクロデータ,MA KU RO DE - TA
﻿macro project,マクロプロジェクト,MA KU RO PU RO ZI e KU TO
﻿machine code,マシンコード,MA SI N KO - DO
﻿mask ROM,マスクロム,MA SU KU RO MU
﻿master hub,マスターハブ,MA SU TA - HA BU
﻿master page,マスターページ,MA SU TA - PE - ZI
﻿master drive,マスタドライブ,MA SU TA DO RA I BU
﻿mach band,マッハバンド,MA tsu HA BA N DO
﻿map click,マップクリック,MA tsu PU KU RI tsu KU
﻿matrix switcher,マトリクススイッチャー,MA TO RI KU SU SU I tsu TI ya -
﻿matrix size,マトリックスサイズ,MA TO RI tsu KU SU SA I ZU
﻿Markov model,マルコフモデル,MA RU KO HU MO DE RU
﻿multiwindow,マルチウィンドウ,MA RU TI U i N DO U
﻿multicast address,マルチキャストアドレス,MA RU TI KI ya SU TO A DO RE SU
﻿Multics,マルチクス,MA RU TI KU SU
﻿multiscan,マルチスキャン,MA RU TI SU KI ya N
﻿multithreading,マルチスレッディング,MA RU TI SU RE tsu DE i N GU
﻿multidrop,マルチドロップ,MA RU TI DO RO tsu PU
﻿MultiFinder,マルチファインダ,MA RU TI HU a I N DA
﻿multifunction,マルチファンクション,MA RU TI HU a N KU SI yo N
﻿multiplatform,マルチプラットフォーム,MA RU TI PU RA tsu TO HU o - MU
﻿multiplayer game,マルチプレーヤーゲーム,MA RU TI PU RE - YA - GE - MU
﻿multiplayer game,マルチプレイヤーゲーム,MA RU TI PU RE I YA - GE - MU
﻿multiprocessing,マルチプロセッシング,MA RU TI PU RO SE tsu SI N GU
﻿multipoint,マルチポイント,MA RU TI PO I N TO
﻿multimode,マルチモード,MA RU TI MO - DO
﻿multimode fiber,マルチモードファイバ,MA RU TI MO - DO HU a I BA
﻿multiuser,マルチユーザ,MA RU TI YU - ZA
﻿multiuser mode,マルチユーザモード,MA RU TI YU - ZA MO - DO
﻿multileg,マルチレッグ,MA RU TI RE tsu GU
﻿mixer tile,ミキサタイル,MI KI SA TA I RU
﻿micro data,ミクロデータ,MI KU RO DE - TA
﻿misc,ミスク,MI SU KU
﻿mickey,ミッキー,MI tsu KI -
﻿mission critical,ミッションクリティカル,MI tsu SI yo N KU RI TE i KA RU
﻿mid tier,ミッドティア,MI tsu DO TE i A
﻿midrange,ミッドレンジ,MI tsu DO RE N ZI
﻿middle range machine,ミドルレンジマシン,MI DO RU RE N ZI MA SI N
﻿middle range model,ミドルレンジモデル,MI DO RU RE N ZI MO DE RU
﻿mini tower,ミニタワー,MI NI TA WA -
﻿Miniture Card,ミニチュアカード,MI NI TI yu A KA - DO
﻿mirror server,ミラーサーバ,MI RA - SA - BA
﻿mirror server,ミラーサーバー,MI RA - SA - BA -
﻿mirrored drives,ミラードライブ,MI RA - DO RA I BU
﻿mirroring,ミラーリング,MI RA - RI N GU
﻿mailer,メーラ,ME - RA
﻿mailer,メーラー,ME - RA -
﻿mail agent,メールエージェント,ME - RU E - ZI e N TO
﻿mail server,メールサーバ,ME - RU SA - BA
﻿mail spool,メールスプール,ME - RU SU PU - RU
﻿mail software,メールソフトウェア,ME - RU SO HU TO U e A
﻿mail server,メイルサーバ,ME I RU SA - BA
﻿mailbox,メイルボックス,ME I RU BO tsu KU SU
﻿main key,メインキー,ME I N KI -
﻿main directory,メインディレクトリ,ME I N DE i RE KU TO RI
﻿mainframer,メインフレーマ,ME I N HU RE - MA
﻿mainframe computer,メインフレームコンピュータ,ME I N HU RE - MU KO N PI yu - TA
﻿main routine,メインルーチン,ME I N RU - TI N
﻿main loop,メインループ,ME I N RU - PU
﻿major upgrade,メジャーアップグレード,ME ZI ya - A tsu PU GU RE - DO
﻿majordomo,メジャードゥーモ,ME ZI ya - DO u - MO
﻿metasearch,メタサーチ,ME TA SA - TI
﻿metafile,メタファイル,ME TA HU a I RU
﻿metaball,メタボール,ME TA BO - RU
﻿metalize,メタライズ,ME TA RA I ZU
﻿metallic cable,メタリックケーブル,ME TA RI tsu KU KE - BU RU
﻿mesh plot,メッシュプロット,ME tsu SI yu PU RO tsu TO
﻿message area,メッセージエリア,ME tsu SE - ZI E RI A
﻿message queue,メッセージキュー,ME tsu SE - ZI KI yu -
﻿message type,メッセージタイプ,ME tsu SE - ZI TA I PU
﻿message file,メッセージファイル,ME tsu SE - ZI HU a I RU
﻿message box,メッセージボックス,ME tsu SE - ZI BO tsu KU SU
﻿messaging,メッセージング,ME tsu SE - ZI N GU
﻿media eraser,メディアイレーザ,ME DE i A I RE - ZA
﻿media clip,メディアクリップ,ME DE i A KU RI tsu PU
﻿media file,メディアファイル,ME DE i A HU a I RU
﻿media family,メディアファミリ,ME DE i A HU a MI RI
﻿media processor,メディアプロセッサ,ME DE i A PU RO SE tsu SA
﻿mediator,メディエイタ,ME DE i E I TA
﻿menu item,メニューアイテム,ME NI yu - A I TE MU
﻿menu option,メニューオプション,ME NI yu - O PU SI yo N
﻿menu driven,メニュードライバー,ME NI yu - DO RA I BA -
﻿member code,メンバーコード,ME N BA - KO - DO
﻿member set,メンバセット,ME N BA SE tsu TO
﻿motion captur,モーションキャプチャ,MO - SI yo N KI ya PU TI ya
﻿motion blur,モーションブラー,MO - SI yo N BU RA -
﻿mode indicator,モードインジケータ,MO - DO I N ZI KE - TA
﻿mobile computing,モービルコンピューティング,MO - BI RU KO N PI yu - TE i N GU
﻿morphing,モーフィング,MO - HU i N GU
﻿modem card,モデムカード,MO DE MU KA - DO
﻿model site,モデルサイト,MO DE RU SA I TO
﻿moderate,モデレート,MO DE RE - TO
﻿monospace font,モノスペースフォント,MO NO SU PE - SU HU o N TO
﻿Mobile Gear,モバイルギア,MO BA I RU GI A
﻿mobile computing,モバイルコンピューティング,MO BA I RU KO N PI yu - TE i N GU
﻿mopera,モペラ,MO PE RA
﻿Mondex,モンデックス,MO N DE tsu KU SU
﻿user account,ユーザーアカウント,YU - ZA - A KA U N TO
﻿user interface,ユーザーインターフェイス,YU - ZA - I N TA - HU e I SU
﻿user interface,ユーザーインタフェース,YU - ZA - I N TA HU e - SU
﻿user traffic,ユーザートラヒック,YU - ZA - TO RA HI tsu KU
﻿user account,ユーザアカウント,YU - ZA A KA U N TO
﻿user agent,ユーザエージェント,YU - ZA E - ZI e N TO
﻿user data,ユーザデータ,YU - ZA DE - TA
﻿user forum,ユーザフォーラム,YU - ZA HU o - RA MU
﻿useware,ユースウェア,YU - SU U e A
﻿Usenet,ユーズネット,YU - ZU NE tsu TO
﻿Eudora,ユードラ,YU - DO RA
﻿uuencode,ユーユーエンコード,YU - YU - E N KO - DO
﻿uudecode,ユーユーデコード,YU - YU - DE KO - DO
﻿unicast,ユニキャスト,YU NI KI ya SU TO
﻿Unicode,ユニコード,YU NI KO - DO
﻿uniterm,ユニターム,YU NI TA - MU
﻿unified messaging,ユニファイドメッセージング,YU NI HU a I DO ME tsu SE - ZI N GU
﻿lurker,ラーカー,RA - KA -
﻿lurk,ラーク,RA - KU
﻿launcher,ラーンチャ,RA - N TI ya
﻿Lycos,ライコス,RA I KO SU
﻿raiser card,ライザーカード,RA I ZA - KA - DO
﻿license owner,ライセンスオーナー,RA I SE N SU O - NA -
﻿license store,ライセンスストア,RA I SE N SU SU TO A
﻿license set,ライセンスセット,RA I SE N SU SE tsu TO
﻿license free,ライセンスフリー,RA I SE N SU HU RI -
﻿rightsizing,ライトサイジング,RA I TO SA I ZI N GU
﻿write once,ライトワンス,RA I TO WA N SU
﻿Linux,ライナックス,RA I NA tsu KU SU
﻿Linotronic,ライノトロニック,RA I NO TO RO NI tsu KU
﻿live icon,ライブアイコン,RA I BU A I KO N
﻿livedoor,ライブドア,RA I BU DO A
﻿line editor,ラインエディタ,RA I N E DE i TA
﻿line card,ラインカード,RA I N KA - DO
﻿Rijndael,ラインダール,RA I N DA - RU
﻿line printer,ラインプリンタ,RA I N PU RI N TA
﻿line mode,ラインモード,RA I N MO - DO
﻿router,ラウター,RA U TA -
﻿raster scan,ラスタースキャン,RA SU TA - SU KI ya N
﻿raster scan display,ラスタースキャンディスプレイ,RA SU TA - SU KI ya N DE i SU PU RE I
﻿raster scan,ラスタスキャン,RA SU TA SU KI ya N
﻿raster plotter,ラスタプロッタ,RA SU TA PU RO tsu TA
﻿rasterrizer,ラスタライザ,RA SU TA RA I ZA
﻿rasterize,ラスタライズ,RA SU TA RA I ZU
﻿last one mile,ラストワンマイル,RA SU TO WA N MA I RU
﻿LaTeX,ラテック,RA TE tsu KU
﻿Lavie,ラビー,RA BI -
﻿Ruputer,ラピュータ,RA PI yu - TA
﻿label set,ラベルセット,RA BE RU SE tsu TO
﻿Rambus,ラムバス,RA MU BA SU
﻿run time version,ランタイムバージョン,RA N TA I MU BA - ZI yo N
﻿landing zone,ランディングゾーン,RA N DE i N GU ZO - N
﻿landscape mode,ランドスケープモード,RA N DO SU KE - PU MO - DO
﻿running foot,ランニングフット,RA N NI N GU HU tsu TO
﻿running head,ランニングヘッド,RA N NI N GU HE tsu DO
﻿LAN Manager,ランマネージャー,RA N MA NE - ZI ya -
﻿leaky bucket,リーキーバケット,RI - KI - BA KE tsu TO
﻿leaky bucket,リーキバケット,RI - KI BA KE tsu TO
﻿Regional Code,リージョナルコード,RI - ZI yo NA RU KO - DO
﻿redial,リーダイヤル,RI - DA I YA RU
﻿lead time,リードタイム,RI - DO TA I MU
﻿back panel,リアパネル,RI A PA NE RU
﻿RealAudio,リアルオーディオ,RI A RU O - DE i O
﻿real mode,リアルモード,RI A RU MO - DO
﻿recompile,リコンパイル,RI KO N PA I RU
﻿resample,リサンプル,RI SA N PU RU
﻿reservation,リザベーション,RI ZA BE - SI yo N
﻿result code,リザルトコード,RI ZA RU TO KO - DO
﻿list index,リストインデックス,RI SU TO I N DE tsu KU SU
﻿listserver,リストサーブ,RI SU TO SA - BU
﻿listbox,リストボックス,RI SU TO BO tsu KU SU
﻿listener,リスナ,RI SU NA
﻿resource editor,リソースエディタ,RI SO - SU E DE i TA
﻿resource fork,リソースフォーク,RI SO - SU HU o - KU
﻿RETURN key,リターンキー,RI TA - N KI -
﻿redialing,リダイヤル,RI DA I YA RU
﻿listen,リッスン,RI tsu SU N
﻿rich text format,リッチテキストフォーマット,RI tsu TI TE KI SU TO HU o - MA tsu TO
﻿ripper software,リッパーソフトウェア,RI tsu PA - SO HU TO U e A
﻿ripping,リッピング,RI tsu PI N GU
﻿ripping software,リッピングソフトウェア,RI tsu PI N GU SO HU TO U e A
﻿retract,リトラクト,RI TO RA KU TO
﻿redo,リドゥ,RI DO u
﻿Linux,リナックス,RI NA tsu KU SU
﻿Linux,リニクス,RI NI KU SU
﻿Linux,リヌクス,RI NU KU SU
﻿Linux,リヌックス,RI NU tsu KU SU
﻿reverse proxy,リバースプロキシ,RI BA - SU PU RO KI SI
﻿reverse proxy,リバースプロクシ,RI BA - SU PU RO KU SI
﻿repeater hub,リピータハブ,RI PI - TA HA BU
﻿repeat key,リピートキー,RI PI - TO KI -
﻿ribbon cable,リボンケーブル,RI BO N KE - BU RU
﻿removable,リムーバブル,RI MU - BA BU RU
﻿removable disk,リムーバブルディスク,RI MU - BA BU RU DE i SU KU
﻿remote access,リモートアクセス,RI MO - TO A KU SE SU
﻿remote echo,リモートエコー,RI MO - TO E KO -
﻿Remote Job Entry,リモートジョブエントリー,RI MO - TO ZI yo BU E N TO RI -
﻿remote host,リモートホスト,RI MO - TO HO SU TO
﻿remote user,リモートユーザ,RI MO - TO YU - ZA
﻿remote login,リモートログイン,RI MO - TO RO GU I N
﻿release notes,リリースノート,RI RI - SU NO - TO
﻿relational database,リレーショナルデータベース,RI RE - SI yo NA RU DE - TA BE - SU
﻿Relational Database system,リレーショナルデータベースシステム,RI RE - SI yo NA RU DE - TA BE - SU SI SU TE MU
﻿link group,リンクグループ,RI N KU GU RU - PU
﻿link set,リンクセット,RI N KU SE tsu TO
﻿ring counter,リングカウンタ,RI N GU KA U N TA
﻿ring network,リングネットワーク,RI N GU NE tsu TO WA - KU
﻿linkage editor,リンケージエディタ,RI N KE - ZI E DE i TA
﻿luser,ルーザ,RU - ZA
﻿routing table,ルーチングテーブル,RU - TI N GU TE - BU RU
﻿routing table,ルーティングテーブル,RU - TE i N GU TE - BU RU
﻿routing data,ルーティングデータ,RU - TE i N GU DE - TA
﻿routing pattern,ルーティングパターン,RU - TE i N GU PA TA - N
﻿routing message,ルーティングメッセージ,RU - TE i N GU ME tsu SE - ZI
﻿root window,ルートウィンドウ,RU - TO U i N DO U
﻿route server,ルートサーバ,RU - TO SA - BA
﻿route set,ルートセット,RU - TO SE tsu TO
﻿root directory,ルートディレクトリ,RU - TO DE i RE KU TO RI
﻿route menu,ルートメニュー,RU - TO ME NI yu -
﻿root module,ルートモジュール,RU - TO MO ZI yu - RU
﻿loop block,ループブロック,RU - PU BU RO tsu KU
﻿ruler,ルーラ,RU - RA
﻿look up,ルックアップ,RU tsu KU A tsu PU
﻿look and feel,ルックアンドフィール,RU tsu KU A N DO HU i - RU
﻿laser diode,レーザダイオード,RE - ZA DA I O - DO
﻿laser printer,レーザプリンタ,RE - ZA PU RI N TA
﻿layout cell,レイアウトセル,RE I A U TO SE RU
﻿layered routing,レイヤードルーチング,RE I YA - DO RU - TI N GU
﻿legacy,レガシ,RE GA SI
﻿legacy,レガシー,RE GA SI -
﻿legacy system,レガシーシステム,RE GA SI - SI SU TE MU
﻿legacy device,レガシーデバイス,RE GA SI - DE BA I SU
﻿record key,レコードキー,RE KO - DO KI -
﻿resume,レジューム,RE ZI yu - MU
﻿response time,レスポンスタイム,RE SU PO N SU TA I MU
﻿responder,レスポンダ,RE SU PO N DA
﻿letter size,レターサイズ,RE TA - SA I ZU
﻿RedHat Linux,レッドハットリナックス,RE tsu DO HA tsu TO RI NA tsu KU SU
﻿Red Book,レッドブック,RE tsu DO BU tsu KU
﻿RedBrick,レッドブリック,RE tsu DO BU RI tsu KU
﻿leading,レディング,RE DE i N GU
﻿reverse link,レバースリンク,RE BA - SU RI N KU
﻿replica set,レプリカセット,RE PU RI KA SE tsu TO
﻿replication,レプリケーション,RE PU RI KE - SI yo N
﻿low end,ローエンド,RO - E N DO
﻿local operator,ローカルオペレータ,RO - KA RU O PE RE - TA
﻿local time zone,ローカルタイムゾーン,RO - KA RU TA I MU ZO - N
